Time,L2P6(W),Smoothing(a=0.3),Moving average
437,198.1,199.0141665,195.1
438,196.4,198.7399165,210.22
439,224.6,198.0379416,222.66
440,273.3,206.0065591,207.98
441,147.5,226.1945914,216.6
442,241.2,202.586214,206.64
443,146.6,214.1703498,192.8
444,155.4,193.8992448,174.16
445,180.1,182.3494714,181.64
446,184.9,181.67463,177
447,218,182.642241,199.68
448,260,193.2495687,215.58
449,234.9,213.2746981,229.66
450,250.5,219.7622887,246.76
451,270.4,228.9836021,255.92
452,263.8,241.4085214,257.14
453,266.1,248.125965,262.2
454,260.2,253.5181755,260.96
455,244.3,255.5227229,239.52
456,163.2,252.155906,216.82
457,150.3,225.4691342,210.04
458,232.2,202.9183939,207.26
459,246.3,211.7028758,198.36
460,199.8,222.082013,195.54
461,149.1,215.3974091,210.36
462,224.4,195.5081864,189.76
463,129.2,204.1757305,168.86
464,141.8,181.6830113,163.7
465,174,169.7181079,168.56
466,173.4,171.0026756,170.1
467,232.1,171.7218729,181.34
468,185.4,189.835311,187.48
469,172.5,188.5047177,201.62
470,244.7,183.7033024,196
471,145.3,202.0023117,195.94
472,231.8,184.9916182,208.4
473,247.7,199.0341327,200.64
474,133.7,213.6338929,191.68
475,199.9,189.653725,212.04
476,247.1,192.7276075,211.78
477,230.5,209.0393253,197.26
478,175.1,215.4775277,219.6
479,245.4,203.3642694,210.06
480,152.2,215.9749886,184.86
481,121.1,196.842492,176.6
482,189.2,174.1197444,191.12
483,247.7,178.6438211,177.12
484,175.4,199.3606748,185.36
485,193.4,192.1724723,204.94
486,219,192.5407306,195.7
487,143,200.4785114,180.84
488,173.4,183.234958,184.7
489,194.7,180.2844706,186.38
490,201.8,184.6091294,184.98
491,212,189.7663906,189.88
492,167.5,196.4364734,187.34
493,160.7,187.7555314,194.18
494,228.9,179.638872,189.18
495,176.8,194.4172104,181.32
496,172.7,189.1320473,184.12
497,181.5,184.2024331,192.02
498,200.2,183.3917032,195.7
499,247.3,188.4341922,224.04
500,318.5,206.0939345,241.3
501,259,239.8157542,245.24
502,201.2,245.5710279,241.38
503,180.9,232.2597196,221.84
504,149.6,216.8518037,196.92
505,193.9,196.6762626,176.28
506,155.8,195.8433838,173.06
507,185.1,183.8303687,172.1
508,176.1,184.2112581,170.7
509,142.6,181.7778806,171.76
510,199.2,170.0245165,189.52
511,244.6,178.7771615,193.64
512,205.7,198.5240131,205.38
513,234.8,200.6768091,207.26
514,152,210.9137664,201.24
515,169.1,193.2396365,202.64
516,251.6,185.9977455,215.84
517,271.7,205.6784219,193.58
518,123.5,225.4848953,211.88
519,243.5,194.8894267,210.2
520,160.7,209.4725987,200.96
521,205.4,194.8408191,187.06
522,202.2,198.0085734,191.4
523,145.2,199.2660014,188.7
524,230,183.0462009,217.84
525,306.4,197.1323407,231.38
526,273.1,229.9126385,230.88
527,199.7,242.8688469,240.92
528,195.4,229.9181928,232.66
529,188.7,219.562735,213.58
530,211,210.3039145,193.42
531,172.3,210.5127401,177.36
